State_Name,Household_Estimate,Year
Wisconsin,2371960,2018
Wyoming,230252,2018
Mississippi,1108630,2018
Missouri,2434806,2018
Montana,431421,2018
Nebraska,765490,2018
Nevada,1129810,2018
New Hampshire,531212,2018
New Jersey,3249567,2018
New Mexico,794093,2018
New York,7367015,2018
North Carolina,4011462,2018
North Dakota,319355,2018
Ohio,4685447,2018
Oklahoma,1485310,2018
Oregon,1639970,2018
Pennsylvania,5070931,2018
Rhode Island,406573,2018
South Carolina,1927991,2018
South Dakota,345449,2018
Tennessee,2603140,2018
Texas,9776083,2018
Vermont,261373,2018
Utah,998891,2018
Virginia,3175524,2018
Washington,2895575,2018
West Virginia,734703,2018
Alabama,1855184,2018
Alaska,254551,2018
Arizona,2614298,2018
Arkansas,1156347,2018
California,13072122,2018
Colorado,2176757,2018
Delaware,367671,2018
Connecticut,1378091,2018
Florida,7809358,2018
Georgia,3803012,2018
Idaho,640270,2018
Hawaii,455309,2018
Illinois,4864864,2018
Indiana,2599169,2018
Iowa,1267873,2018
Kansas,1133408,2018
Kentucky,1732713,2018
Louisiana,1737220,2018
Maine,570307,2018
Maryland,2215935,2018
Massachusetts,2624294,2018
Michigan,3957466,2018
Minnesota,2194452,2018
Mississippi,1100229,2019
Missouri,2458337,2019
Montana,437651,2019
Nebraska,771444,2019
Nevada,1143557,2019
New Hampshire,541396,2019
New Jersey,3286264,2019
New Mexico,793420,2019
New York,7446812,2019
North Carolina,4046348,2019
North Dakota,323519,2019
Ohio,4730340,2019
Oklahoma,1495151,2019
Oregon,1649352,2019
Pennsylvania,5119249,2019
Rhode Island,407174,2019
South Carolina,1975915,2019
South Dakota,353799,2019
Tennessee,2654737,2019
Texas,9985126,2019
Vermont,262767,2019
Utah,1023855,2019
Virginia,3191847,2019
Washington,2932477,2019
West Virginia,728175,2019
Wisconsin,2386623,2019
Wyoming,233128,2019
Illinois,4866006,2019
Georgia,3852714,2019
Idaho,655859,2019
Hawaii,465299,2019
Indiana,2597765,2019
Iowa,1287221,2019
Kansas,1138329,2019
Kentucky,1748732,2019
