State_Name,Year,Active_Listings
AK,2018,2969.711111111111
AK,2019,2840.244949494949
AK,2020,2329.938888888889
AK,2021,1771.5222222222221
AK,2022,1433.678787878788
AK,2023,1244.9166666666665
AK,2024,1355.909090909091
AL,2018,26620.333333333332
AL,2019,23632.72904040404
AL,2020,19071.363636363636
AL,2021,14760.381818181819
AL,2022,14522.117676767677
AL,2023,15465.944191919192
AL,2024,19023.45606060606
AR,2018,15452.30634920635
AR,2019,14100.158838383837
AR,2020,10602.91212121212
AR,2021,9103.714285714286
AR,2022,9544.958008658008
AR,2023,9630.242424242424
AR,2024,10262.531962481962
AZ,2018,40007.677777777775
AZ,2019,37236.742424242424
AZ,2020,29472.946969696968
AZ,2021,24539.855303030305
AZ,2022,28409.02121212121
AZ,2023,26095.328787878785
AZ,2024,28480.89898989899
CA,2018,104652.07222222222
CA,2019,105877.09090909091
CA,2020,82296.43181818182
CA,2021,70556.61818181818
CA,2022,72014.29393939395
CA,2023,60728.44696969697
CA,2024,69694.35606060606
CO,2018,26133.71111111111
CO,2019,26616.63333333333
CO,2020,22094.528138528138
CO,2021,17403.029797979798
CO,2022,18886.46212121212
CO,2023,19502.67121212121
CO,2024,22840.340909090908
CT,2018,20170.8
CT,2019,18585.666666666668
CT,2020,14456.916666666666
CT,2021,10238.878787878788
CT,2022,7604.848484848484
CT,2023,5950.765151515151
CT,2024,6075.962121212121
DE,2018,5808.211111111112
DE,2019,4902.75
DE,2020,3578.166666666667
DE,2021,2371.727272727273
DE,2022,2098.3333333333335
DE,2023,2069.3030303030305
DE,2024,2613.128787878788
FL,2018,167433.54126984128
FL,2019,171806.48658008658
FL,2020,148634.25707070707
FL,2021,106158.12142857144
FL,2022,101734.31616161617
FL,2023,120893.28398268398
FL,2024,164640.37121212122
GA,2018,51428.892063492065
GA,2019,52634.08939393939
GA,2020,44756.36111111111
GA,2021,33966.94343434343
GA,2022,33640.21266233766
GA,2023,31559.1088023088
GA,2024,37758.32323232323
HI,2018,8017.586111111112
HI,2019,8581.484848484848
HI,2020,7765.666666666667
HI,2021,5125.515151515152
HI,2022,4310.772727272727
HI,2023,4483.771212121213
HI,2024,5752.606060606061
IA,2018,12167.791666666666
IA,2019,11590.989393939393
IA,2020,10337.267171717172
IA,2021,7971.0034992784995
IA,2022,7285.913636363636
IA,2023,6674.039393939394
IA,2024,7208.660173160173
ID,2018,9389.696825396824
ID,2019,8657.89393939394
ID,2020,6703.545454545455
ID,2021,4908.860606060606
ID,2022,6085.554545454545
ID,2023,6038.818181818182
ID,2024,6450.519696969697
IL,2018,63361.26666666667
IL,2019,62351.795454545456
IL,2020,52624.556818181816
IL,2021,44908.182323232315
IL,2022,36314.502020202024
IL,2023,28896.98080808081
IL,2024,27877.970707070705
IN,2018,21723.751587301587
IN,2019,20202.06872294372
IN,2020,15912.790367965368
IN,2021,13254.483333333334
IN,2022,13457.401515151516
IN,2023,12938.165151515152
IN,2024,14818.45854978355
KS,2018,8052.919444444444
KS,2019,7369.4638888888885
KS,2020,5554.498484848485
KS,2021,4433.317424242425
KS,2022,4015.429797979798
KS,2023,3986.743326118326
KS,2024,4650.531313131313
