State_Name,Year,Sales_Count
AK,2018,5016.0
AK,2019,5462.0
AK,2020,5693.0
AK,2021,6700.0
AK,2022,5643.0
AK,2023,4116.0
AK,2024,4203.0
AL,2018,54422.0
AL,2019,56708.0
AL,2020,60968.0
AL,2021,70059.0
AL,2022,62256.0
AL,2023,49165.0
AL,2024,49093.0
AR,2018,27865.0
AR,2019,26436.0
AR,2020,28947.0
AR,2021,32644.0
AR,2022,28268.0
AR,2023,21071.0
AR,2024,21310.0
AZ,2018,136001.0
AZ,2019,137528.0
AZ,2020,143352.0
AZ,2021,162693.0
AZ,2022,123150.0
AZ,2023,89440.0
AZ,2024,88521.0
CA,2018,388324.0
CA,2019,382966.0
CA,2020,393453.0
CA,2021,471257.0
CA,2022,351140.0
CA,2023,261084.0
CA,2024,272426.0
CO,2018,95958.0
CO,2019,95688.0
CO,2020,99049.0
CO,2021,108665.0
CO,2022,84113.0
CO,2023,65537.0
CO,2024,65947.0
CT,2018,45745.0
CT,2019,43232.0
CT,2020,54653.0
CT,2021,58739.0
CT,2022,46331.0
CT,2023,35826.0
CT,2024,34486.0
DE,2018,11066.0
DE,2019,10623.0
DE,2020,14747.0
DE,2021,17139.0
DE,2022,12930.0
DE,2023,9493.0
DE,2024,10343.0
FL,2018,444886.0
FL,2019,440462.0
FL,2020,457679.0
FL,2021,598826.0
FL,2022,474032.0
FL,2023,368690.0
FL,2024,334782.0
GA,2018,156522.0
GA,2019,157670.0
GA,2020,161718.0
GA,2021,195307.0
GA,2022,162926.0
GA,2023,117024.0
GA,2024,111844.0
HI,2018,16999.0
HI,2019,15999.0
HI,2020,15026.0
HI,2021,21865.0
HI,2022,17102.0
HI,2023,12090.0
HI,2024,12059.0
IA,2018,23719.0
IA,2019,20866.0
IA,2020,23326.0
IA,2021,24733.0
IA,2022,22056.0
IA,2023,17336.0
IA,2024,16397.0
ID,2018,17971.0
ID,2019,17139.0
ID,2020,18224.0
ID,2021,17319.0
ID,2022,13331.0
ID,2023,10731.0
ID,2024,11236.0
IL,2018,169107.0
IL,2019,166892.0
IL,2020,180104.0
IL,2021,218004.0
IL,2022,161442.0
IL,2023,123223.0
IL,2024,119757.0
IN,2018,63523.0
IN,2019,60648.0
IN,2020,64630.0
IN,2021,70117.0
IN,2022,62665.0
IN,2023,49122.0
IN,2024,47686.0
KS,2018,12625.0
KS,2019,12106.0
KS,2020,13299.0
KS,2021,13328.0
KS,2022,12672.0
KS,2023,10169.0
KS,2024,10256.0
KY,2018,35694.0
KY,2019,34484.0
KY,2020,35745.0
KY,2021,38182.0
KY,2022,31957.0
KY,2023,23058.0
KY,2024,24613.0
LA,2018,33886.0
LA,2019,32358.0
LA,2020,37362.0
LA,2021,49786.0
LA,2022,42185.0
LA,2023,33046.0
LA,2024,32709.0
MA,2018,90288.0
MA,2019,88385.0
MA,2020,91258.0
MA,2021,99291.0
MA,2022,84610.0
MA,2023,64794.0
MA,2024,68150.0
MD,2018,47686.0
MD,2019,48135.0
MD,2020,55066.0
MD,2021,73101.0
MD,2022,56581.0
MD,2023,40485.0
MD,2024,40523.0
ME,2018,8092.0
